age,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
42,Bachelors,Married,Exec-managerial,Husband,White,Male,5178,0,40,USA,>50K
20,Some-college,Never-married,Sales,Own-child,Black,Male,0,0,44,United,<50K
45,Masters,Married-civ-spouse,Professional-specialty,Husband,White,Male,0,0,40,United,>50K
38,Prof-school,Married,Prof-specialty,Husband,White,Male,0,0,40,United,>50K
47,Bachelors,Married,Exec-managerial,Wife,White,Female,0,0,40,United,>50K
21,High,Never-Married,Handler,Not-in-family,White,Male,0,0,40,USA,<50K
40,7th-8th,Married,Machine-operator,Husband,Hispanic,Male,0,0,40,Mexico,>50K
25,10th,Never,Machine,Not-in-family,White,Male,0,0,40,United,<50K
50,Bachelors,Married-civ-spouse,Executive-managerial,Husband,White,Male,0,0,40,United,>50K
55,HS-grad,Married,Sales,Husband,White,Male,4386,0,40,United,>50K
40,Assoc-voc,Married,Tech-support,Husband,White,Male,0,0,40,United,>50K
23,HS-grad,Single,Other-services,Not-in-family,White,Female,0,0,25,United,<50K
23,HS-grad,Never,Handlers-cleaners,Not-in-family,Other,Male,0,0,72,Dominican-Republic,<50K
19,Some,Never,Machine,Own,White,Female,0,0,40,United,<50K
34,Bachelors,Married,Prof-specialty,Husband,White,Male,0,0,50,USA,>50K
30,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,USA,<50K
49,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United,<50K
35,Doctorate,Married,Prof-specialty,Husband,Asian-Pacific,Male,0,0,40,Taiwan,>50K
26,HS-grad,Never-married,Other-service,Other-relative,White,Male,0,0,30,USA,<50K
31,Master,Married,Tech,Husband,White,Male,0,1902,40,USA,>50K
29,11th,Never,Craft-repair,Own,Black,Male,0,0,40,Haiti,<50K
37,5th-6th,Separated,Farming-fishing,Not-in-family,Other,Male,0,0,32,Guatemala,<50K
32,HS-grad,Married,Craft-repair,Husband,White,Male,5178,0,48,USA,>50K
17,10th,Never-married,Cleaning,Own-child,White,Male,0,0,20,United,<50K
49,Bachelors,Never,Exec-managerial,Not-in-family,White,Female,0,0,56,United,>50K
39,Bachelor,Married,Executive,Husband,White,Male,0,0,40,United,>50K
32,HS-grad,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United,<50K
37,HS-grad,Married,Craft-repair,Husband,White,Male,0,0,99,USA,>50K
56,HS-grad,Married,Exec-managerial,Husband,White,Male,0,0,55,USA,>50K
23,Some,Never,Machine,Own,Black,Female,0,0,40,United,<50K
17,11th,Single,Administrative,Own-child,White,Male,0,0,15,United,<50K
34,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United,<50K
30,Some,Never,Machine,Not,Black,Female,0,0,40,United,<50K
33,Master,Married,Prof-specialty,Husband,White,Male,15024,0,44,USA,>50K
34,Some,Married,Tech,Husband,White,Male,0,0,40,United,>50K
54,Doctorate,Married,Prof-specialty,Husband,White,Male,15024,0,45,USA,>50K
31,HS-grad,Never,Admin-clerical,Not-in-family,White,Female,0,0,40,United,<50K
67,Bachelors,Married,Protective-serv,Husband,White,Male,6514,0,7,United,>50K
22,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<50K
35,Bachelors,Never,Administrative,Not,White,Female,0,0,40,USA,<50K
22,HS-grad,Single,Other-service,Not-in-family,White,Female,0,0,24,United,<50K
37,High,Divorced,Transportation,Not-in-family,White,Male,0,0,50,USA,<50K
47,Some,Never,Administrative,Not-in-family,White,Female,0,0,40,United,<50K
51,Some,Married,Transport-moving,Husband,White,Male,0,0,40,United,>50K
17,11th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United,<50K
44,Bachelors,Divorced,Other-service,Not-in-family,Asian-Pacific,Male,0,0,40,China,<50K
34,7th-8th,Married,Machine-operator,Husband,White,Male,0,0,40,United,<50K
18,12th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,6,United,<50K
24,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,50,United,<50K
33,Some,Married,Machine,Husband,Black,Male,0,0,40,United,<50K
18,Some-college,Single,Sales,Not-in-family,White,Male,0,0,16,United,<50K
43,Master,Married,Exec-managerial,Husband,White,Male,0,1902,40,USA,>50K
34,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United,<50K
30,Bachelors,Married,Admin-clerical,Husband,White,Male,0,0,40,USA,>50K
39,Master,Married,Executive,Husband,Asian-Pacific,Male,15024,0,40,USA,>50K
48,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United,<50K
58,Masters,Married,Sales,Husband,White,Male,0,0,40,United,<50K
22,9th,Never,Other-service,Not-in-family,White,Male,0,0,40,United,<50K
26,11th,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,USA,<50K
45,HS-grad,Married,Handlers-cleaners,Husband,White,Male,0,1628,45,USA,<50K
66,10th,Married,Protective,Husband,White,Male,0,0,40,USA,<50K
26,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United,<50K
31,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,1408,40,United,<50K
53,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United,>50K
35,11th,Married,Farming-fishing,Husband,White,Male,0,0,40,United,<50K
57,HS-grad,Never-married,Sales,Not-in-family,White,Female,0,0,40,United,<50K
18,11th,Never,Machine,Own,White,Male,0,0,40,United,<50K
38,HS-grad,Married,Machine,Husband,White,Male,0,0,40,United,<50K
65,Assoc-voc,Married,Farming-fishing,Husband,White,Male,6767,0,60,United,<50K
33,7th-8th,Married,Machine,Husband,White,Male,0,0,40,United,<50K
24,HS-grad,Never-married,Administrative-clerical,Not-in-family,White,Male,0,0,40,United,<50K
40,Some,Never,Craft-repair,Not-in-family,White,Male,0,0,40,United,<50K
21,11th,Never-married,Service,Not-in-family,Black,Female,0,0,40,United,<50K
57,Some,Married,Craft-repair,Husband,White,Male,0,0,40,Poland,<50K
44,bachelor,divorced,exec-managerial,not-in-family,white,male,0,2547,50,United,>50K
19,HS-grad,Never-married,Sales,Own-child,White,Male,0,0,40,USA,<50K
18,11th,Never,Administrative,Not-in-family,White,Male,0,0,40,United,<50K
27,Some,Single,Administrative,Not-in-family,White,Female,0,0,40,United,<50K
24,HS-grad,Never,Adm-clerical,Not-in-family,White,Male,0,0,40,United,<50K
47,HS-grad,Married,Transport-moving,Husband,White,Male,0,0,25,United,<50K
18,10th,Never,Handlers-cleaners,Not,White,Male,0,0,27,United,<50K
38,5th-6th,Married,Other-service,Husband,White,Male,0,0,75,Mexico,<50K
31,Some-college,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,45,United-States,<50K
18,11th,Never,Cleaner,Own,White,Male,0,0,25,United,<50K
47,Assoc-voc,Divorced,Sales,Not-in-family,White,Male,0,0,50,United,<50K
31,HS-grad,Never-married,Sales,Not-in-family,Black,Female,0,0,40,United,<50K
27,Bachelors,Never,Sales,Own-child,White,Male,0,0,40,United,<50K
38,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United,<50K
25,11th,Never,Handlers-cleaners,Not,White,Male,0,0,40,United,<50K
42,Preschool,Widowed,Craft-repair,Unmarried,White,Male,0,0,40,United,<50K
23,7th-8th,Never,Craft-repair,Not-in-family,White,Male,0,0,38,United,<50K
60,Bachelors,Married,Exec-managerial,Husband,White,Male,0,0,35,United,>50K
29,Some,Never,Handlers-cleaners,Not,White,Male,0,0,40,USA,<50K
21,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,0,0,65,United,<50K
30,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United,<50K
43,Some,Married-civ-spouse,Exec-managerial,Husband,White,Male,1500,0,40,United,>50K
24,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,USA,<50K
60,HS-grad,Married,Transport-moving,Husband,White,Male,0,0,40,USA,<50K
53,Some,Married,Craft-repair,Husband,White,Male,0,0,50,United,>50K
59,HS-grad,Separated,Sales,Not-in-family,Black,Female,0,0,40,United,<50K
52,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United,<50K
19,Some,Never,Sales,Not,White,Female,0,0,28,United,<50K
27,Some,Never-Married,Sales,Not-in-family,White,Male,0,0,40,United,<50K
24,HS-grad,Never,Admin-clerical,Not-in-family,White,Female,0,0,40,United,<50K
39,Bachelors,Married,Sales,Husband,White,Male,0,0,40,United,<50K
52,Some,Married,Exec-managerial,Husband,White,Male,0,0,40,United,>50K
46,Some-college,Married,Craft-repair,Husband,Black,Male,0,0,40,United,>50K
17,10th,Never,Other-service,Not-in-family,White,Male,0,0,24,United,<50K
56,Masters,Married,Craft-repair,Husband,White,Male,0,1977,44,USA,>50K
28,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United,<50K
35,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United,>50K
48,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United,<50K
41,Some,Married,Craft,Husband,American,Male,7298,0,50,United,>50K
38,HS-grad,Separated,Household-services,Not-in-family,Black,Female,0,0,30,USA,<50K
24,Assoc-voc,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United,>50K
22,Bachelors,Never-married,Administrative-Clerical,Not-in-family,White,Male,0,0,40,United,<50K
19,HS-grad,Never,Tech-support,Not-in-family,White,Male,0,0,40,United,<50K
38,Some,Never,Executive,Not,White,Female,0,0,45,United,<50K
51,Some,Married,Exec-managerial,Husband,White,Male,0,0,40,United,>50K
36,HS-grad,Married,Machine-op-inspct,Husband,White,Male,0,0,60,United,<50K
19,7th-8th,Never-married,Machine-operator,Own-child,White,Male,0,0,40,United,<50K
28,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United,<50K
50,Bachelors,Married,Exec-managerial,Husband,White,Male,0,0,13,United,<50K
19,HS-grad,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0,0,40,United,<50K
18,11th,Never,Other-service,Own,White,Female,0,0,22,United,<50K
61,HS-grad,Married,Craft-repair,Husband,White,Male,0,0,40,United,<50K
33,Bachelors,Never,Exec-managerial,Other-relative,Asian-Pacific,Female,0,0,40,Philippines,<50K
18,HS-grad,Single,Sales,Own-child,White,Female,0,0,40,USA,<50K
42,Bachelors,Married,Clerical,Wife,Black,Female,0,0,40,United,<50K
41,Some-college,Married,Farming-fishing,Husband,White,Male,0,0,54,United,>50K
42,HS-grad,Married,Clerical,Wife,White,Female,0,0,35,United,<50K
52,HS-grad,Married,Managerial,Husband,White,Male,0,0,45,United,<=50K
18,High,Never-married,Sales,Own-child,White,Male,0,0,35,United,<50K
42,Doctorate,Married,Specialty,Husband,White,Male,0,0,45,USA,<50K
17,10th,Never-married,Exec-managerial,Own-child,White,Female,34095,0,32,United,<50K
42,Bachelors,Married-civ-spouse,Software,Husband,White,Male,0,0,40,USA,<50K
25,Some,Married,Exec-managerial,Wife,Other,Female,0,0,40,United,<50K
28,Some,Divorced,Admin-clerical,Not-in-family,White,Female,0,0,40,United,<50K
24,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,40,United,<50K
19,Some,Never,Other,Own,Black,Male,0,0,35,United,<50K
66,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United,<50K
24,High,Married-civ-spouse,Machine-operator,Husband,White,Male,0,0,40,United,<50
35,Some,Single,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United,<50K
59,Some-college,Married,Sales,Husband,White,Male,4064,0,40,United,<50K
58,HS-grad,Married,Handlers-cleaners,Husband,White,Male,0,0,40,USA,<50K
26,9th,Married,Craft-repair,Husband,White,Male,0,0,40,Portugal,<50K
42,Some-college,Married,Adm-clerical,Wife,White,Female,0,0,40,United,<50K
37,HS-grad,Married,Admin-clerical,Wife,White,Female,0,0,60,USA,<50K
62,HS-grad,Married,Transport-moving,Husband,White,Male,0,0,40,USA,<50K
36,HS-grad,Married,Other-service,Husband,Black,Male,0,0,40,United,<50K
35,HS-grad,Married,Machine-op-inspct,Wife,Black,Female,0,0,40,United,<50K
30,HS-grad,Married,Transport-moving,Husband,Black,Male,0,0,45,USA,<50K
31,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United,<50K
43,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,38,United,<50K
