age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
42,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,5178,0,40,USA,>50K
20,Private,Some-college,Never-married,Sales,Own-child,Black,Male,0,0,44,United,<50K
45,Private,Masters,Married-civ-spouse,Professional-specialty,Husband,White,Male,0,0,40,United,>50K
38,Private,Prof-school,Married,Prof-specialty,Husband,White,Male,0,0,40,United,>50K
47,Private,Bachelors,Married,Exec-managerial,Wife,White,Female,0,0,40,United,>50K
21,Private,High,Never-Married,Handler,Not-in-family,White,Male,0,0,40,USA,<
40,Private,7th-8th,Married,Machine-operator,Husband,Hispanic,Male,0,0,40,Mexico,>50K
25,Private,10th,Never,Machine,Not-in-family,White,Male,0,0,40,United,<
50,Private,Bachelors,Married-civ-spouse,Executive-managerial,Husband,White,Male,0,0,40,United,>50K
55,Private,HS-grad,Married,Sales,Husband,White,Male,4386,0,40,United,>50K
40,Private,Assoc-voc,Married,Tech-support,Husband,White,Male,0,0,40,United,>
23,Private,HS-grad,Single,Other-services,Not-in-family,White,Female,0,0,25,United,<50K
23,Private,HS-grad,Never,Handlers-cleaners,Not-in-family,Other,Male,0,0,72,Dominican-Republic,<50K
19,Private,Some,Never,Machine,Own,White,Female,0,0,40,United,<
34,Private,Bachelors,Married,Prof-specialty,Husband,White,Male,0,0,50,USA,>50K
30,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,USA,<
49,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United,<
35,Private,Doctorate,Married,Prof-specialty,Husband,Asian-Pacific,Male,0,0,40,Taiwan,>50K
26,Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,0,0,30,USA,<50K
31,Private,Master,Married,Tech,Husband,White,Male,0,1902,40,USA,>
29,Private,11th,Never,Craft-repair,Own,Black,Male,0,0,40,Haiti,<50K
37,Private,5th-6th,Separated,Farming-fishing,Not-in-family,Other,Male,0,0,32,Guatemala,<50K
32,Private,HS-grad,Married,Craft-repair,Husband,White,Male,5178,0,48,USA,>50K
17,Private,10th,Never-married,Cleaning,Own-child,White,Male,0,0,20,United,<
49,Private,Bachelors,Never,Exec-managerial,Not-in-family,White,Female,0,0,56,United,>50K
39,Private,Bachelor,Married,Executive,Husband,White,Male,0,0,40,United,>50K
32,Private,HS-grad,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United,<50K
37,Private,HS-grad,Married,Craft-repair,Husband,White,Male,0,0,99,USA,>
56,Private,HS-grad,Married,Exec-managerial,Husband,White,Male,0,0,55,USA,>50K
23,Private,Some,Never,Machine,Own,Black,Female,0,0,40,United,<
17,Private,11th,Single,Administrative,Own-child,White,Male,0,0,15,United,<50K
34,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United,<50K
